Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,28,14,T:System.Windows.DependencyProperty,,,,,return (PackIconKind)GetValue(PackIconKindProperty);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,28,14,M:System.Windows.DependencyObject.GetValue(System.Windows.DependencyProperty),,,,,return (PackIconKind)GetValue(PackIconKindProperty);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,23,46,T:System.Windows.DependencyProperty,,,,,"PackIconKindProperty = DependencyProperty.Register(          ""PackIconKind"", typeof(PackIconKind), typeof(IconButton))"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,20,8,T:System.Windows.RoutedEventHandler,,,,,"set { SetValue(ClickProperty, value); }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,20,14,T:System.Windows.DependencyProperty,,,,,"SetValue(ClickProperty, value);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,20,14,"M:System.Windows.DependencyObject.SetValue(System.Windows.DependencyProperty,System.Object)",,,,,"SetValue(ClickProperty, value);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,19,8,T:System.Windows.RoutedEventHandler,,,,,get { return (RoutedEventHandler)GetValue(ClickProperty); }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,19,14,T:System.Windows.DependencyProperty,,,,,return (RoutedEventHandler)GetValue(ClickProperty);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,19,14,M:System.Windows.DependencyObject.GetValue(System.Windows.DependencyProperty),,,,,return (RoutedEventHandler)GetValue(ClickProperty);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,17,4,T:System.Windows.RoutedEventHandler,,,,,public RoutedEventHandler Click
